Date,Close
40998.00,59.54
40997.00,59.22
40996.00,59.34
40995.00,59.87
40994.00,60.18
40991.00,59.37
40990.00,59.01
40989.00,59.67
40988.00,59.9
40987.00,60.74
40984.00,60.46
40983.00,60.66
40982.00,60.03
40981.00,60.79
40980.00,58.95
40977.00,59.71
40976.00,59.71
40975.00,58.38
40974.00,57.64
40973.00,59.36
40970.00,60.14
40969.00,60.31
40968.00,59.87
40967.00,58.93
40966.00,58.39
40963.00,59.24
40962.00,58.52
40961.00,59.06
40960.00,59.16
40956.00,59.42
40955.00,58.95
40954.00,58.89
40953.00,58.38
40952.00,58.82
40949.00,57.71
40948.00,59.19
40947.00,59.17
40946.00,58.68
40945.00,58.32
40942.00,59.03
40941.00,58.47
40940.00,58.21
40939.00,57.36
40938.00,57.01
40935.00,57.94
40934.00,57.52
40933.00,58.06
40932.00,57.53
40931.00,57.54
40928.00,56.76
40927.00,56.17
40926.00,55.21
40925.00,54.32
40921.00,53.29
40920.00,53.19
40919.00,52.58
40918.00,53.15
40917.00,52.07
40914.00,52.19
40913.00,53.38
40912.00,54.02
40911.00,54.27
40907.00,52.26
40906.00,52.2
40905.00,51.48
40904.00,51.81
40900.00,53.09
40899.00,52.67
40898.00,52.14
40897.00,51.56
40896.00,49.48
40893.00,51.77
40892.00,51.39
40891.00,51.27
40890.00,52.21
40889.00,52.94
40886.00,54.68
40885.00,54.04
40884.00,55.81
40883.00,55.76
40882.00,56.4
40879.00,55.59
40878.00,55.98
40877.00,56.06
40876.00,52.97
40875.00,51.99
40872.00,49.52
40870.00,49.77
40869.00,51.75
40868.00,50.99
40865.00,52.69
40864.00,52.25
40863.00,53.34
40862.00,54.7
40861.00,54.57
40858.00,54.83
40857.00,53.23
40856.00,53.5
40855.00,56.75
40854.00,56.68
40851.00,56.55
40850.00,55.76
40849.00,55.82
40848.00,54.53
40847.00,55.4
40844.00,57.46
40843.00,58.02
40842.00,54.63
40841.00,54.3
40840.00,55.48
40837.00,52.98
40836.00,51.64
40835.00,52.84
40834.00,52.98
40833.00,51.62
40830.00,52.82
40829.00,51.45
40828.00,52
40827.00,50.45
40826.00,50.75
40823.00,48.49
40822.00,48.62
40821.00,47.15
40820.00,46.8
